intype,insubtype,surreason,outtype,animaltype,sex,bites,petsize,color,breed,mixed,breed2,days_in,in_season,out_season
STRAY,OTC,STRAY,RTO,DOG,F,N,MED,TAN / BLACK,ENG BULLDOG,True,Unknown,3,SPRING,SPRING
STRAY,OTC,STRAY,ADOPTION,CAT,N,N,LARGE,ORG TABBY,DOMESTIC SH,False,NM,5,SPRING,SPRING
STRAY,OTC,STRAY,FOSTER,DOG,S,N,MED,CHOCOLATE / WHITE,PIT BULL,False,NM,26,SPRING,SPRING
STRAY,OTC,STRAY,ADOPTION,DOG,N,Y,PUPPY,TAN,PIT BULL,True,Unknown,13,SPRING,SPRING
STRAY,OTC,STRAY,EUTH,DOG,M,Y,MED,BL BRINDLE,PIT BULL,False,NM,9,SUMMER,SUMMER
OWNER SUR,EUTH REQ,EUTH OLD,EUTH,DOG,N,N,LARGE,BLACK / BROWN,GERM SHEPHERD,False,NM,0,SUMMER,SUMMER
STRAY,OTC,STRAY,FOSTER,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,FOSTER,CAT,S,N,KITTN,BRN TABBY,DOMESTIC SH,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,SNR,CAT,S,N,MED,BLACK,DOMESTIC SH,False,NM,2,SPRING,SUMMER
STRAY,OTC,STRAY,FOSTER,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,FOSTER,CAT,N,N,KITTN,BLACK,DOMESTIC SH,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,SNR,CAT,N,N,MED,GRAY,DOMESTIC SH,False,NM,36,SUMMER,SUMMER
STRAY,OTC,STRAY,FOSTER,DOG,N,N,SMALL,TAN / BLACK,JACK RUSS TER,True,PUG,8,WINTER,WINTER
STRAY,OTC,STRAY,TRANSFER,DOG,N,N,SMALL,TAN / WHITE,BASENJI,True,Unknown,17,WINTER,WINTER
STRAY,OTC,STRAY,RTO,DOG,N,N,LARGE,BLACK / WHITE,SIBERIAN HUSKY,False,NM,0,FALL,FALL
STRAY,OTC,STRAY,TRANSFER,DOG,M,N,PUPPY,GRAY / WHITE,HAVANESE,True,TIBETAN TERR,6,SPRING,SPRING
STRAY,FIELD,STRAY,TRANSPORT,DOG,N,N,SMALL,TRICOLOR,BEAGLE,True,Unknown,32,SUMMER,SUMMER
STRAY,OTC,STRAY,FOSTER,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,False,NM,10,SUMMER,SUMMER
STRAY,OTC,STRAY,SNR,CAT,S,N,SMALL,BRN TABBY,DOMESTIC SH,False,NM,5,SUMMER,SUMMER
STRAY,OTC,STRAY,FOSTER,CAT,S,N,KITTN,SL LYNX PT,SIAMESE,False,NM,10,SUMMER,SUMMER
STRAY,FIELD,STRAY,ADOPTION,DOG,N,N,MED,BR BRINDLE,PIT BULL,False,NM,33,FALL,FALL
OWNER SUR,EUTH REQ,EUTH BEHAV,EUTH,DOG,M,N,LARGE,BL BRINDLE,CANE CORSO,True,Unknown,0,FALL,FALL
STRAY,OTC,STRAY,ADOPTION,DOG,S,N,SMALL,TAN / WHITE,YORKSHIRE TERR,True,MALTESE,8,WINTER,WINTER
